FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,FAC8_1,FAC9_1,FAC10_1,FAC11_1,FAC12_1,FAC13_1,FAC14_1,FAC15_1,FAC16_1,FAC17_1,FAC18_1,FAC19_1,FAC20_1,FAC21_1,FAC22_1,FAC23_1,FAC24_1,FAC25_1,FAC26_1,FAC27_1,FAC28_1,FAC29_1,FAC30_1,y
1.35447,-0.36433,1.44916,1.43374,1.03580,-0.63747,1.93126,0.64241,-1.37957,-0.11721,2.61071,0.31613,-1.02318,1.29012,-2.33768,1.76007,-2.08773,0.81371,1.86160,1.04556,3.57577,0.15058,-0.24940,0.23071,0.91323,0.58933,0.16462,1.34368,0
-0.21021,0.51849,0.38466,0.67353,0.21920,-0.68370,-0.63777,0.42655,0.14135,-0.53981,0.27598,0.49875,0.25545,-0.95983,0.03001,-0.98314,0.38975,0.00682,0.82560,0.03331,-0.16104,-0.33131,0.74249,-0.68415,-1.59626,0.42285,0.00273,-0.12919,0
-0.46657,0.65259,0.01392,-0.19743,0.27942,-0.31604,0.40873,0.79155,0.17935,-0.46482,0.91312,-0.00560,-0.10744,0.39027,-1.01456,0.29716,-0.09102,0.80454,0.76420,0.57934,0.15535,0.40624,-0.20185,-0.05881,-0.50034,1.08051,0.39615,0.23349,0
0.01079,0.25473,0.66883,0.90146,0.35331,0.00220,0.37932,0.22969,-1.14894,0.84537,-0.94858,-0.62795,0.03833,0.42022,-0.32858,-0.92898,0.56314,-0.25558,-0.29537,-1.15821,0.51021,-0.81356,0.80549,1.40283,1.97486,0.37267,2.47770,1.14594,0
0.80831,0.97698,-0.08405,0.04644,0.54073,0.23206,-0.24985,0.31596,-0.46122,-1.29364,1.38161,0.13187,-0.40363,-0.03587,0.05186,-0.82197,-0.40809,0.16367,0.15388,-0.37070,-0.44704,1.22667,0.73636,-0.52042,0.42038,1.09040,0.85204,1.03406,0
-0.50032,0.61769,0.58569,0.50232,0.56428,0.32616,0.27541,0.48134,-0.26344,0.04084,-1.71651,0.29465,-0.28675,-0.14576,-0.34956,-2.01162,0.72626,0.09858,0.74047,1.33051,0.48040,1.04633,-0.56851,0.06951,1.18087,0.63323,0.53408,1.59310,0
0.95171,-0.15659,0.73816,0.60731,0.92727,1.10370,-0.91582,1.09423,1.79402,-0.95205,1.72689,2.07635,-0.33774,-1.46823,0.56403,0.56593,-0.63543,1.11356,0.31300,-0.00056,-0.77707,0.62130,-0.21814,0.66754,0.76392,1.25697,1.36344,0.86814,0
0.07451,0.72130,0.27591,0.48637,0.93949,-0.43478,1.37019,0.20085,0.47991,0.06895,0.14815,0.17895,-1.10491,0.20437,-1.18542,0.17599,0.48814,0.10973,-0.22256,0.50822,1.38129,-0.32741,-0.04635,-0.04189,-0.19744,-0.12111,-0.38437,0.88256,0
-0.55771,0.57402,0.07689,0.45563,0.20178,-0.74527,0.21390,0.64181,-0.87977,0.16712,-0.44806,-0.63756,0.16307,-0.03102,-0.06513,-0.08766,0.46055,0.06548,-0.31464,-0.49636,0.09396,-0.27900,0.58241,0.85564,0.26090,1.47715,0.67258,0.01995,0
1.39243,0.69223,1.51570,1.26847,-0.54097,-0.12405,0.98377,-1.00994,-0.19664,0.48335,0.14430,1.42011,-0.33565,-1.02545,0.40243,0.76191,0.68587,1.07835,-0.03522,0.56188,0.05614,0.63682,0.60340,0.00657,-1.54282,-0.53496,-1.94252,-0.19432,0
